Number of hops,Packet length,Min,Max, Average
4, 0, 20.46,72.6, 25.34
4, 8, 22.32,76.015, 24.95
4, 16, 23.085,74.735, 26.05
4, 24, 24.565,78.17, 27.48
4, 32, 25.985,77.925, 28.62
4, 40, 27.695,80.15, 30.18
4, 48, 28.44,81.615, 31.34
4, 56, 30.315,82.7, 32.64
4, 64, 31.095,87.72, 34.00
4, 72, 33.065,82.32, 35.17
4, 74, 33.705,123.61, 35.70
5, 0, 26.76,76.92, 29.34
5, 0, 25.875,115.185, 29.12
5, 8, 28.425,118.175, 31.00
5, 8, 28.075,79.055, 31.00
5, 16, 29.11,86.33, 32.67
5, 16, 29.11,122.45, 32.45
5, 24, 31.34,123.855, 34.43
5, 32, 32.82,85.645, 36.31
5, 32, 32.3,123.47, 35.70
5, 40, 35.43,40.51, 37.27
5, 40, 35.125,124.295, 37.71
5, 48, 36.755,89.095, 39.07
5, 48, 36.42,126.495, 39.37
5, 56, 37.945,92.36, 42.34
5, 56, 38.25,96.34, 40.80
5, 64, 39.425,46.81, 41.90
5, 64, 39.52,100.2, 42.03
5, 72, 41.53,96.6, 44.34
5, 72, 41.18,100.295, 44.15
5, 72, 41.165,95.15, 44.83
5, 74, 42.11,114.3, 44.57

