Number of hops,Packet length,Min,Max, Average
3, 24, 24.0,47.0, 25.93
3, 32, 25.0,46.0, 26.68
3, 40, 26.0,43.0, 27.84
3, 48, 27.0,45.0, 28.63
3, 56, 27.0,53.0, 29.65
3, 64, 26.0,61.0, 28.50
3, 74, 28.0,53.0, 29.70
3, 76, 28.0,50.0, 29.99
3, 78, 28.0,43.0, 30.11
3, 79, 28.0,43.0, 30.21
4, 0, 28.0,82.0, 30.27
4, 12, 28.0,123.0, 35.11
4, 24, 31.0,73.0, 33.86
4, 36, 33.0,79.0, 35.56
4, 48, 34.0,290.0, 44.51
4, 64, 34.0,409.0, 51.75
4, 79, 37.0,350.0, 45.51
5, 0, 34.0,114.0, 37.05
5, 12, 37.0,108.0, 39.95
5, 24, 39.0,80.0, 41.86
5, 36, 41.0,114.0, 44.11
5, 48, 43.0,79.0, 46.33
5, 64, 43.0,75.0, 46.16
5, 79, 46.0,151.0, 49.30
6, 0, 41.0,133.0, 44.17
6, 12, 44.0,155.0, 47.30
6, 24, 47.0,139.0, 50.03
6, 36, 48.0,145.0, 52.17
6, 48, 52.0,128.0, 55.28
